"#スペカナンバー","スペカ名","タイプ
0 スペルカード
1 スキルカード
2 システムカード
255　敵専用","消費","カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％"
0,"要石「天空之灵石」",255,3500,,3600,
1,"要石「天空之灵石」",255,4000,,3600,
2,"要石「天空之灵石」",255,4500,,3600,
3,"要石「天空之灵石」",255,5000,,3600,
4,"乾坤「粗暴而又像母亲般的大地啊」",255,3500,,3600,
5,"乾坤「粗暴而又像母亲般的大地啊」",255,4000,,3600,
6,"乾坤「粗暴而又像母亲般的大地啊」",255,4500,,3600,
7,"乾坤「粗暴而又像母亲般的大地啊」",255,5000,,3600,
8,"灵想「镇守大地之石」",255,3500,,3600,
9,"灵想「镇守大地之石」",255,4000,,3600,
10,"灵想「镇守大地之石」",255,4500,,3600,
11,"灵想「镇守大地之石」",255,5000,,3600,
12,"天地「俯瞰世界的遥远大地啊」",255,3500,,3600,
13,"天地「俯瞰世界的遥远大地啊」",255,4000,,3600,
14,"天地「俯瞰世界的遥远大地啊」",255,4500,,3600,
15,"天地「俯瞰世界的遥远大地啊」",255,5000,,3600,
16,"「全人类的绯想天」",255,10000,,3600,
17,"「全人类的绯想天」",255,10000,,3600,
18,"「全人类的绯想天」",255,10000,,3600,
19,"「全人类的绯想天」",255,10000,,3600,
248,"EASY",255,5000,,3600,
249,"NORMAL",255,5500,,3600,
250,"HARD",255,6000,,3600,
251,"LUNATIC",255,6500,,3600,
252,"EASY",255,7000,,3600,
253,"NORMAL",255,8000,,3600,
254,"HARD",255,9000,,3600,
255,"LUNATIC",255,10000,,3600,
